                 Time,              V(R1:2)
0,2.187617064
0.0002,2.187617064
0.0004,2.187617064
0.0008,2.187617064
0.0016,2.187617064
0.0032,2.187617064
0.0064,2.187617064
0.0128,2.187617064
0.0256,2.187617064
0.0456,2.187617064
0.0656,2.187617064
0.0856,2.187617064
0.1056,2.187617064
0.1256,2.187617064
0.1456,2.187617064
0.1656,2.187617064
0.1856,2.187617064
0.2056,2.187617064
0.2256,2.187617064
0.2456,2.187617064
0.2656,2.187617064
0.2856,2.187617064
0.3056,2.187617064
0.3256,2.187617064
0.3456,2.187617064
0.3656,2.187617064
0.3856,2.187617064
0.4056,2.187617064
0.4256,2.187617064
0.4456,2.187617064
0.4656,2.187617064
0.4856,2.187617064
0.5056,2.187617064
0.5256,2.187617064
0.5456,2.187617064
0.5656,2.187617064
0.5856,2.187617064
0.6056,2.187617064
0.6256,2.187617064
0.6456,2.187617064
0.6656,2.187617064
0.6856,2.187617064
0.7056,2.187617064
0.7256,2.187617064
0.7456,2.187617064
0.7656,2.187617064
0.7856,2.187617064
0.8056,2.187617064
0.8256,2.187617064
0.8456,2.187617064
0.8656,2.187617064
0.8856,2.187617064
0.9056,2.187617064
0.9256,2.187617064
0.9456,2.18761754
0.9656,2.187621832
0.9856,2.187665224
1,2.187871456
